Reference,Qty,Value,Part Number,Footprint,Notes
BZ1,1,Buzzer,PS1240P02BT,Buzzer_Beeper:Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,
"C1,C2",2,1uF,TAP105K020SCS,Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm,
Q1,1,2N3904,2N3904,Package_TO_SOT_THT:TO-92_Inline,Make sure to order the straight leg version
R1,1,10k,MFR-25FBF52-10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
J1,1,Conn_01x03_Pin,Optional,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
J2,1,Conn_01x02_Pin,Optional,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
SW1,1,SW_Push,PTS125SM73SMTR21M LFS,,
SW2,1,SLW-1276864-4A-D,SLW-1276864-4A-D,SwitchSPDT:SW_SLW-1276864-4A-D,
U1,1,ESP32-CAM,See note →,ESP32-CAM:ESP32-CAM,I recommend ordering this from Amazon
U1,2,1X8 FEM HEADERS,PPTC081LFBN-RC,ESP32-CAM:ESP32-CAM,
VR1,1,LP38693DT-5.0,LP38691DTX-5.0/NOPB,Package_TO_SOT_SMD:TO-252-2,
