Reference,Qty,Value,Part Number,Footprint,Datasheet
BAT_IN,1,Conn_01x02_Pin,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~
BZ1,1,Buzzer,PS1240P02BT,Buzzer_Beeper:Buzzer_12x9.5RM7.6,~
"C1,C2",2,1uF,TAP105K020SCS,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~
"C3,C4",2,47pF,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~
C5,1,10nF,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~
C6,1,100nF,,Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm,~
"D1,D2",2,1N5819,1N5819,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,
J1,1,Conn_01x03_Pin,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~
"R1,R2",1,27Ω,,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,~
SW1,1,SW_Push,PTS125SM73SMTR21M LFS,,~
SW2,1,SLW-1276864-4A-D,SLW-1276864-4A-D,SwitchSPDT:SW_SLW-1276864-4A-D,~
U1,1,ESP32-CAM,,ESP32-CAM:ESP32-CAM,~
U1,2,1X8 FEM HEADERS,PPTC081LFBN-RC,ESP32-CAM:ESP32-CAM,~
U2,1,FT231XS,FT231XS-R,Package_SO:SSOP-20_3.9x8.7mm_P0.635mm,!
VR1,1,LP38691DTX-5.0/NOPB,LP38691DTX-5.0/NOPB,Package_TO_SOT_SMD:TO-252-2,~
J3,1,2172034-1,2172034-1,2172034-1:2172034-1,
